Port Number,Service Name,Description,Protocol
Port 989,FTPS,FTPS (FTP Secure) over TLS/SSL (data port),TCP
Port 990,FTPS,FTP Secure – FTP over SSL for secure file transfers,TCP
Port 993,IMAP,Internet Message Access Protocol; used to deliver and manage messages on email servers on behalf of email clients,TCP
Port 995,POP3,Post Office Protocol version 3 (over SSL); lets email users download messages from an email server using an email client,TCP / UDP
Port 1194,OpenVPN,Used by OpenVPN for establishing encrypted tunnels between VPN clients and servers,TCP / UDP
Port 1433,Microsoft SQL Server,Allows encrypted access to and management of databases and servers,TCP
Port 1434,Microsoft SQL Monitor,Used by Microsoft SQL Server for monitoring and communication with clients.,UDP
Port 1521,Oracle Database,Oracle client apps communicate with Oracle database servers,TCP
Port 1701,L2TP,"Layer 2 Tunneling Protocol, used for VPN connections",UDP
Port 2000,Cisco SCCP,Skinny Client Control Protocol – used by Cisco VoIP phones,TCP
Port 3306,MySQL,Used to connect with MySQL clients and utilities,TCP
Port 3389,Remote Desktop Protocol,Allows client device to remotely access and control a Windows desktop computer over this port,TCP
Port 4000,Terabase / RemoteAnything,"Often used by custom applications, including development servers (e.g., Node.js), RemoteAnything (remote access), and other services. Not officially assigned by IANA.",TCP / UDP
Port 4444,Metasploit (commonly used),"This port is often used for reverse shells in penetration testing tools, particularly Metasploit's Meterpreter payload.",TCP / UDP
Port 4500,IPsec NAT-T,Psec NAT Traversal used to allow IPsec traffic through NAT routers.,UDP
Port 5060,SIP,Session Initiation Protocol; used to signal and control communication sessions,TCP / UDP
Port 5061,SIP-TLS,Session Initiation Protocol (SIP) over TLS for secure VoIP signaling,TCP
Port 5353,mDNS,Multicast DNS (mDNS) is used for resolving hostnames to IP addresses within small networks without a local DNS server.,UDP
Port 5355,LLMNR,Link-Local Multicast Name Resolution – name resolution in local networks,UDP
Port 5432,PostgreSQL,Used for communication between PostgreSQL clients and the database server,TCP
Port 5500,VNC Server,Default port used by VNC Server for remote desktop access,TCP
Port 5900,VNC (Virtual Network Computing),"Used for remote desktop sharing, allows a client to remotely view and control another computer's desktop",TCP
Ports 6665-6669,IRC (Internet Relay Chat),"Used for Internet Relay Chat (IRC) communications, enabling text-based communication over networks",TCP / UDP
Ports 6881-6999,BitTorrent,"Used for peer-to-peer file sharing, facilitating data distribution across networks",TCP / UDP
Ports 8086 & 8087,TTP Alternate/IoT Services,"These ports are often used as alternative ports for web servers, IoT (Internet of Things) services, or internal applications.",TCP
Port 9100,Printer/JetDirect,Commonly used by network printers and print servers for raw printing protocols,TCP
Port 10000,Webmin,Used for remote server communication and configuration,TCP
Port 12345,NetBus,Used for remote administration; can be exploited for unauthorized access,TCP / UDP
Port 31337,Back Orifice / ncat,Used for remote control of servers by hacking tools and remote administration utilities,TCP / UDP
